id,Area,Precio
76,Moonee Valley,1037500
77,Moonee Valley,1050000
78,Moonee Valley,440000
79,Moonee Valley,1430000
80,Moonee Valley,1130000
81,Moonee Valley,1135000
82,Moonee Valley,950000
83,Moonee Valley,790000
84,Moonee Valley,390000
85,Moonee Valley,1345000
86,Moonee Valley,1381500
87,Moonee Valley,940000
88,Moonee Valley,995000
89,Moonee Valley,786000
90,Moonee Valley,705000
91,Moonee Valley,760000
92,Moonee Valley,1000000
93,Moonee Valley,1305000
94,Moonee Valley,965000
95,Moonee Valley,1215000
96,Moonee Valley,545000
97,Moonee Valley,1705000
98,Boroondara,2650000
99,Boroondara,1670000
100,Boroondara,2050000
101,Boroondara,4736944.952
102,Boroondara,1100000
103,Boroondara,1337000
104,Boroondara,2950000
105,Boroondara,1518000
106,Boroondara,1710000
107,Boroondara,1655000
108,Boroondara,1550000
109,Boroondara,1662000
110,Boroondara,1665000
111,Boroondara,3510000
112,Boroondara,4808787.325
113,Boroondara,2752000
114,Boroondara,5730358.222
115,Boroondara,1800000
116,Boroondara,1830000
117,Boroondara,1415000
118,Boroondara,1440000
119,Boroondara,1250000
120,Boroondara,1600000
121,Boroondara,1860000
122,Boroondara,1790000
123,Boroondara,1950000
124,Boroondara,1650000
125,Moonee Valley,850000
126,Moonee Valley,750000
127,Moonee Valley,3631385.684
128,Moonee Valley,1155000
129,Moonee Valley,680000
130,Moonee Valley,627500
131,Moonee Valley,950000
132,Moonee Valley,3222089.353
133,Moonee Valley,705000
134,Moonee Valley,1100000
135,Moonee Valley,3225610.601
136,Moonee Valley,522500
137,Moonee Valley,3299951.118
138,Moonee Valley,875000
139,Moonee Valley,762000
140,Moonee Valley,411000
141,Moonee Valley,3751114.98
142,Moonee Valley,634000
143,Boroondara,2100000
144,Boroondara,1800000
145,Boroondara,1255000
146,Boroondara,1070000
147,Boroondara,2570000
148,Boroondara,2400000
149,Boroondara,2200000
150,Boroondara,3250000
151,Boroondara,806000
152,Boroondara,4000000
153,Boroondara,2250000
154,Boroondara,2800000
155,Boroondara,1850000
156,Boroondara,700000
157,Boroondara,500000
158,Boroondara,2125000
159,Boroondara,1800000
160,Boroondara,635000
161,Boroondara,6562424.75
162,Boroondara,905000
163,Boroondara,1750000
164,Boroondara,760000
165,Boroondara,1367000
166,Boroondara,1400000
167,Boroondara,3270000
168,Boroondara,625000
169,Boroondara,1860000
170,Boroondara,2730000
171,Boroondara,460000
172,Boroondara,1053000
173,Boroondara,6140839.37
174,Boroondara,754000
175,Boroondara,3400000
176,Boroondara,2188000
177,Boroondara,755000
178,Boroondara,3290000
179,Boroondara,2410000
180,Boroondara,6359286.042
181,Boroondara,2000000
182,Boroondara,1900000
183,Boroondara,3401000
184,Boroondara,1750000
185,Boroondara,3020000
186,Boroondara,2450000
187,Boroondara,730000
188,Boroondara,5783735.796
189,Boroondara,6573864.83
190,Boroondara,1315000
191,Boroondara,1500000
192,Boroondara,3230000
193,Boroondara,1905000
194,Boroondara,3300000
195,Boroondara,1900000
196,Boroondara,2251000
197,Boroondara,2205000
198,Boroondara,1265000
199,Boroondara,1750000
200,Boroondara,1450000
201,Boroondara,2614000
202,Boroondara,1825000
203,Boroondara,3250000
204,Boroondara,1150000
205,Boroondara,1572000
206,Boroondara,1750000
207,Boroondara,1850000
208,Boroondara,2130000
209,Boroondara,3690000
210,Boroondara,1740000
211,Boroondara,2575000
212,Boroondara,1388800
213,Boroondara,1800000
214,Boroondara,2910000
215,Boroondara,2200000
216,Boroondara,1700000
217,Boroondara,4741222.946
218,Boroondara,4731785.156
219,Boroondara,6360464.268
220,Boroondara,1750000
221,Boroondara,2000000
222,Boroondara,1480000
223,Boroondara,3000000
224,Boroondara,1818000
225,Boroondara,2525000
226,Boroondara,3360000
227,Boroondara,1903000
228,Boroondara,1720000
229,Boroondara,1675000
230,Boroondara,1680000
231,Boroondara,4000000
232,Boroondara,2205000
233,Boroondara,5443387.091
234,Boroondara,685000
235,Boroondara,1900000
236,Boroondara,1335000
237,Boroondara,1900000
238,Boroondara,5365489.436
239,Boroondara,1250000
240,Boroondara,1875000
241,Boroondara,1530000
242,Boroondara,1700000
243,Boroondara,1651000
244,Boroondara,1920000
245,Boroondara,1560000
246,Boroondara,1038000
247,Boroondara,1660000
248,Boroondara,1770000
249,Boroondara,691500
250,Moreland,1026000
251,Moreland,1802500
252,Moreland,1500000
253,Moreland,2230000
254,Moreland,410000
255,Moreland,3010291.096
256,Moreland,680000
257,Moreland,400000
258,Moreland,950000
259,Moreland,860000
260,Moreland,845500
261,Moreland,605000
262,Moreland,445000
263,Moreland,659500
264,Moreland,600000
265,Moreland,1115000
266,Moreland,1125000
267,Moreland,855000
268,Moreland,940000
269,Moreland,750000
270,Moreland,1056000
271,Moreland,620000
272,Moreland,880000
273,Moreland,1222500
274,Moreland,955000
275,Moreland,587000
276,Moreland,1060000
277,Moreland,890000
278,Moreland,685000
279,Moreland,976000
280,Moreland,641000
281,Moreland,770000
282,Moreland,279500
283,Moreland,1800000
284,Moreland,1350000
285,Moreland,1320000
286,Moreland,2669465.511
287,Moreland,1261000
288,Moreland,1045000
289,Moreland,1044000
290,Moreland,1050000
291,Moreland,1691500
292,Moreland,1075000
293,Moreland,501000
294,Moreland,1260000
295,Moreland,1650000
296,Moreland,2991202.001
297,Moreland,1015000
298,Moreland,625000
299,Moreland,1700000
300,Moreland,815000
301,Moreland,435000
302,Moreland,2500000
303,Moreland,860000
304,Moreland,491000
305,Moreland,985000
306,Moreland,1250000
307,Moreland,641000
308,Moreland,860000
309,Moreland,705000
310,Moreland,880000
311,Moreland,754000
312,Moreland,590000
313,Moreland,575000
314,Moreland,1510000
315,Moreland,801000
316,Moreland,820000
317,Moreland,2584538.816
318,Moreland,1170000
319,Moreland,1790000
320,Moreland,2709242.073
321,Moreland,1875000
322,Moreland,1053000
323,Moreland,705000
324,Moreland,1175000
325,Moreland,1217000
326,Moreland,1020000
327,Moreland,1340000
328,Moreland,1410000
329,Moreland,1550000
330,Moreland,740000
331,Moreland,592500
332,Moreland,370000
333,Moreland,765000
334,Moreland,772000
335,Moreland,1210000
336,Moreland,1755000
337,Moreland,945000
338,Moreland,3117824.01
339,Moreland,521500
340,Moreland,2865405.145
341,Moreland,471000
342,Moreland,3067109.992
343,Moreland,955000
344,Moreland,3123574.242
345,Moreland,380000
346,Moreland,300000
347,Moreland,810000
348,Moreland,793000
349,Moreland,400000
350,Moreland,400500
351,Moreland,797500
352,Moreland,1300000
353,Moreland,1330000
354,Moreland,1205000
355,Moreland,380000
356,Moreland,1095000
357,Moreland,680000
358,Moreland,711000
359,Moreland,500000
360,Moreland,385000
361,Moreland,370000
362,Moreland,320000
363,Moreland,330000
364,Moreland,1200000
365,Moreland,537000
366,Moreland,910000
367,Moreland,285000
368,Moreland,921500
369,Moreland,1315000
370,Moreland,370000
371,Moreland,735000
372,Moreland,1000000
373,Moreland,252000
374,Moreland,1700000
375,Moreland,820000
376,Moreland,370000
377,Moreland,484000
378,Moreland,815000
379,Moreland,1150000
380,Moreland,497000
381,Moreland,440000
382,Moreland,816000
383,Moreland,970000
384,Boroondara,2650000
385,Boroondara,729000
386,Boroondara,2600000
387,Boroondara,1650000
388,Boroondara,615000
389,Boroondara,1987000
390,Boroondara,683000
391,Boroondara,1690000
392,Boroondara,430000
393,Boroondara,2600000
394,Boroondara,2325000
395,Boroondara,5214753.776
396,Boroondara,900400
397,Boroondara,2000000
398,Boroondara,1302000
399,Boroondara,1622000
400,Boroondara,502000
401,Boroondara,435000
402,Boroondara,591000
403,Boroondara,2608000
404,Boroondara,1780000
405,Boroondara,2250000
406,Boroondara,895000
407,Boroondara,1800000
408,Boroondara,900000
409,Boroondara,2700000
410,Boroondara,530000
411,Boroondara,2228000
412,Boroondara,1602500
413,Boroondara,2177000
414,Boroondara,3400000
415,Boroondara,2105000
416,Boroondara,1625000
417,Boroondara,4891282.936
418,Boroondara,667000
419,Boroondara,2015000
420,Boroondara,700000
421,Boroondara,3225000
422,Boroondara,3320000
423,Boroondara,2125000
424,Boroondara,2030000
425,Boroondara,2750000
426,Boroondara,2000000
427,Boroondara,2250000
428,Boroondara,2740000
429,Boroondara,2950000
430,Boroondara,1587500
431,Boroondara,1550000
432,Boroondara,830000
433,Boroondara,2375000
434,Boroondara,2900000
435,Boroondara,2200000
436,Boroondara,2620000
437,Boroondara,1305000
438,Boroondara,928000
439,Boroondara,2930000
440,Boroondara,2950000
441,Boroondara,722000
442,Boroondara,2350000
443,Boroondara,1640000
444,Boroondara,1680000
445,Boroondara,3550000
446,Boroondara,3400000
447,Boroondara,6433046.834
448,Boroondara,3145000
449,Moreland,850000
450,Moreland,784000
451,Moreland,680000
452,Moreland,807000
453,Moreland,675000
454,Moreland,1010000
455,Moreland,1202000
456,Moreland,1370000
457,Moreland,1000000
458,Moreland,145000
459,Moreland,860000
460,Moreland,953000
461,Moreland,735000
462,Moreland,550000
463,Moreland,947000
464,Moreland,500000
465,Moreland,2693277.84
466,Moreland,740000
467,Moreland,812000
468,Moreland,766000
469,Moreland,3008686.659
470,Moreland,1131000
471,Moreland,1064000
472,Moreland,1210000
473,Moreland,434000
474,Moreland,653000
475,Moreland,640000
476,Moreland,1130000
477,Moreland,3052410.543
478,Moreland,903000
479,Moreland,2867766.564
480,Moreland,1742000
481,Moreland,865000
482,Moreland,485000
483,Moreland,3162808.415
484,Moreland,590000
485,Moreland,590000
486,Moreland,1136000
487,Moreland,635000
488,Moreland,1400000
489,Moreland,1260000
490,Moreland,841000
491,Moreland,537500
492,Moreland,598000
493,Moreland,3124109.765
494,Moreland,870000
495,Moreland,680000
496,Moreland,825000
497,Moreland,725000
498,Moreland,1250000
499,Moreland,1008000
500,Moreland,990000
501,Moreland,451000
502,Moreland,635000
503,Moreland,1020000
504,Moreland,1025000
505,Moreland,700000
506,Moreland,1130000
507,Moreland,1075000
508,Moreland,600000
509,Moreland,1150000
510,Moreland,515000
511,Moreland,472000
512,Moreland,901000
513,Moreland,2619883.306
514,Moreland,687000
515,Moreland,975000
516,Moreland,1370000
517,Moreland,700000
518,Moreland,810000
519,Moreland,838000
520,Moreland,1150000
521,Moreland,931000
522,Moreland,241000
523,Moreland,1007000
524,Moreland,981000
525,Moreland,570000
526,Moreland,500000
527,Moreland,655000
528,Moreland,631000
529,Moreland,600000
530,Moreland,715000
531,Moreland,864000
532,Moreland,700000
533,Moreland,591000
534,Moreland,860000
535,Moreland,2970810.925
536,Moreland,625000
537,Moreland,745000
538,Moreland,1050000
539,Moreland,935000
540,Moreland,820000
541,Moreland,780000
542,Moreland,707000
543,Moreland,637000
544,Moreland,950000
545,Moreland,860000
546,Moreland,1172000
547,Darebin,650000
548,Moreland,792000
549,Moreland,720000
550,Moreland,970000
551,Moonee Valley,1425000
552,Moonee Valley,660000
553,Moonee Valley,550000
554,Moonee Valley,1295000
555,Moonee Valley,595000
556,Moonee Valley,911000
557,Moonee Valley,900000
558,Moonee Valley,645000
559,Moonee Valley,702500
560,Moonee Valley,3447929.292
561,Moonee Valley,1670000
562,Moonee Valley,1100000
563,Moonee Valley,1800000
564,Moonee Valley,3168821.039
565,Moonee Valley,1130000
566,Moonee Valley,3572673.123
567,Moonee Valley,1467000
568,Moonee Valley,2800000
569,Moonee Valley,1160000
570,Moonee Valley,2620000
571,Moonee Valley,1226000
572,Moonee Valley,1402000
573,Moonee Valley,855000
574,Moonee Valley,1275000
575,Moonee Valley,1590000
576,Moonee Valley,606000
577,Moonee Valley,1385000
578,Moonee Valley,650000
579,Moonee Valley,3296514.825
580,Moonee Valley,1000000
581,Moonee Valley,520000
582,Moonee Valley,720000
583,Moonee Valley,1635000
584,Moonee Valley,485000
585,Moonee Valley,1575000
586,Moonee Valley,280000
587,Moonee Valley,1467000
588,Moonee Valley,890000
589,Moonee Valley,870000
590,Moonee Valley,1134000
591,Moonee Valley,320500
592,Moonee Valley,1065000
593,Moonee Valley,3258572.777
594,Moonee Valley,930000
595,Moonee Valley,395000
596,Moonee Valley,1470000
597,Moonee Valley,750000
598,Moonee Valley,390000
599,Moonee Valley,1170000
600,Moonee Valley,1600000
601,Moonee Valley,1535000
602,Moonee Valley,435000
603,Moonee Valley,1460000
604,Moonee Valley,736000
605,Moonee Valley,450000
606,Moonee Valley,740000
607,Moonee Valley,691000
608,Moonee Valley,2355000
609,Moonee Valley,1625000
610,Moonee Valley,1150000
611,Moonee Valley,360000
612,Moonee Valley,645000
613,Moonee Valley,250000
614,Moonee Valley,872000
615,Moonee Valley,3110702.118
616,Moonee Valley,440000
617,Moonee Valley,1811000
618,Moonee Valley,1500000
619,Moonee Valley,1290000
620,Moonee Valley,1100000
621,Moonee Valley,1270000
622,Moonee Valley,1445000
623,Moonee Valley,1113000
624,Moonee Valley,370000
625,Moonee Valley,396000
626,Moonee Valley,450000
627,Moonee Valley,1360000
628,Moonee Valley,340000
629,Moonee Valley,765000
630,Moonee Valley,712000
631,Darebin,1250000
632,Darebin,1350000
633,Darebin,1220000
634,Darebin,1160000
635,Darebin,505000
636,Darebin,846000
637,Darebin,400000
638,Darebin,445000
639,Darebin,1730000
640,Darebin,510000
641,Darebin,1350000
642,Darebin,2000000
643,Darebin,805000
644,Darebin,1055000
645,Darebin,3400238.727
646,Darebin,600000
647,Darebin,545000
648,Darebin,1375000
649,Moreland,1222500
650,Moonee Valley,365000
651,Moonee Valley,425000
652,Moonee Valley,391000
653,Moonee Valley,1130000
654,Moonee Valley,3670503.256
655,Moonee Valley,918000
656,Moonee Valley,730000
657,Moonee Valley,855000
658,Moonee Valley,1012000
659,Moonee Valley,1315000
660,Moonee Valley,395000
661,Moonee Valley,556000
662,Moonee Valley,345000
663,Moonee Valley,1100000
664,Moonee Valley,395000
665,Moonee Valley,1115000
666,Moonee Valley,420500
667,Boroondara,1735000
668,Boroondara,1800000
669,Boroondara,1998000
670,Boroondara,671000
671,Boroondara,1425000
672,Boroondara,1530000
673,Boroondara,1900000
674,Boroondara,1360000
675,Boroondara,2175000
676,Boroondara,2325000
677,Boroondara,2538000
678,Boroondara,2300000
679,Boroondara,1600000
680,Boroondara,2115000
681,Boroondara,1700000
682,Boroondara,2077000
683,Boroondara,2850000
684,Boroondara,2020000
685,Boroondara,2010000
686,Boroondara,2975000
687,Boroondara,1820000
688,Boroondara,2376000
689,Boroondara,5336091.478
690,Boroondara,2000000
691,Boroondara,585000
692,Boroondara,1700000
693,Boroondara,1375000
694,Boroondara,2825000
695,Boroondara,5764281.603
696,Boroondara,3085000
697,Boroondara,1600000
698,Boroondara,2352500
699,Boroondara,3860000
700,Boroondara,2625000
701,Boroondara,1950000
702,Boroondara,2200000
703,Boroondara,1751000
704,Boroondara,720000
705,Boroondara,1500000
706,Boroondara,2725000
707,Boroondara,1665000
708,Boroondara,1420000
709,Boroondara,2410000
710,Boroondara,2100000
711,Boroondara,2950000
712,Boroondara,6424466.67
713,Boroondara,2400000
714,Moreland,610000
715,Moreland,610000
716,Moreland,555000
717,Moreland,806500
718,Moreland,550000
719,Moreland,822000
720,Moreland,980000
721,Moreland,430000
722,Moreland,2835692.713
723,Moreland,737000
724,Moreland,2966698.443
725,Moreland,545000
726,Moreland,3016833.908
727,Moreland,702000
728,Moreland,730000
729,Moreland,711500
730,Moreland,2862286.593
731,Moreland,250000
732,Moreland,460000
733,Moreland,793000
734,Moreland,340000
735,Moreland,447500
736,Moreland,588000
737,Moreland,420000
738,Moreland,410000
739,Moreland,525000
740,Moreland,703000
741,Moreland,608000
742,Moreland,607000
743,Moreland,765500
744,Moreland,470000
745,Moreland,580000
746,Moreland,620250
747,Moreland,710000
748,Moreland,3023933.959
749,Moreland,600000
750,Moreland,550000
751,Moreland,600000
752,Moreland,1217500
753,Moreland,600000
754,Moreland,570000
755,Moreland,2596927.25
756,Moreland,3172331.517
757,Moreland,741250
758,Moreland,488500
759,Moreland,1000000
760,Moreland,630000
761,Moreland,670000
762,Moreland,417000
763,Moreland,600000
764,Moreland,440000
765,Moreland,660000
766,Moreland,270000
767,Moreland,825000
768,Moreland,638000
769,Moreland,631000
770,Moreland,532000
771,Moreland,504000
772,Moreland,468000
773,Moreland,802500
774,Moreland,709000
775,Moreland,485000
776,Moreland,540000
777,Moreland,390000
778,Moreland,800000
779,Moreland,740000
780,Moreland,605000
781,Moreland,685500
782,Moreland,610000
783,Moreland,630000
784,Moreland,870000
785,Moreland,810000
786,Moreland,2616940.402
787,Moreland,700000
788,Moreland,600500
789,Moreland,730000
790,Moreland,800000
791,Moreland,3073302.927
792,Moreland,740000
793,Moreland,2644879.464
794,Moreland,545000
795,Moreland,777000
796,Moreland,3048195.111
797,Moreland,545000
798,Moreland,2736404.984
799,Moreland,631500
800,Moreland,550000
801,Moreland,330000
802,Moreland,715888
803,Moreland,468000
804,Moreland,515000
805,Boroondara,1650000
806,Boroondara,2670000
807,Boroondara,1480000
808,Boroondara,348000
809,Boroondara,5063066.504
810,Boroondara,5256658.912
811,Boroondara,492000
812,Boroondara,806000
813,Boroondara,2000000
814,Boroondara,753000
815,Boroondara,330000
816,Boroondara,1420000
817,Boroondara,495000
818,Boroondara,292000
819,Boroondara,5406571.429
820,Boroondara,1300000
821,Boroondara,1300000
822,Boroondara,5698164.841
823,Boroondara,1000000
824,Boroondara,1741000
825,Boroondara,655000
826,Boroondara,488000
827,Boroondara,2065000
828,Boroondara,350000
829,Boroondara,1712000
830,Boroondara,480000
831,Boroondara,3225000
832,Boroondara,400000
833,Boroondara,1650000
834,Boroondara,3950000
835,Boroondara,587500
836,Boroondara,560000
837,Boroondara,1936000
838,Boroondara,4250000
839,Boroondara,3500000
840,Boroondara,630000
841,Boroondara,1560000
842,Boroondara,5878874.053
843,Boroondara,1780000
844,Boroondara,815000
845,Boroondara,5385935.691
846,Boroondara,657500
847,Boroondara,5050000
848,Boroondara,445000
849,Boroondara,6286325.697
850,Boroondara,470000
851,Boroondara,4729093.802
852,Boroondara,1800000
853,Boroondara,1855000
854,Boroondara,665000
855,Boroondara,1551000
856,Boroondara,612500
857,Boroondara,2410000
858,Boroondara,715000
859,Boroondara,1055000
860,Boroondara,1976000
861,Boroondara,499000
862,Boroondara,495000
863,Boroondara,3750000
864,Boroondara,1400000
865,Boroondara,370000
866,Boroondara,627500
867,Moonee Valley,703000
868,Moonee Valley,650000
869,Moonee Valley,770000
870,Moonee Valley,900000
871,Moonee Valley,700000
872,Moonee Valley,816000
873,Moonee Valley,845000
874,Moonee Valley,772000
875,Moonee Valley,650000
876,Moonee Valley,757000
877,Moonee Valley,3065682.955
878,Moonee Valley,583000
879,Moonee Valley,880000
880,Moonee Valley,580000
881,Moonee Valley,886000
882,Moonee Valley,920000
883,Moonee Valley,976000
884,Moonee Valley,1420000
885,Moonee Valley,900000
886,Moonee Valley,470000
887,Moonee Valley,380000
888,Moonee Valley,560000
889,Moonee Valley,1010000
890,Moonee Valley,835000
891,Moonee Valley,705000
892,Moonee Valley,680000
893,Moonee Valley,785000
894,Moonee Valley,695000
895,Moonee Valley,807000
896,Moonee Valley,502000
897,Moonee Valley,770000
898,Moonee Valley,3477555.877
899,Moonee Valley,830000
900,Moonee Valley,600000
901,Moonee Valley,825000
902,Moonee Valley,720000
903,Moonee Valley,735000
904,Moonee Valley,875000
905,Moonee Valley,601200
906,Moonee Valley,680000
907,Moonee Valley,705000
908,Moonee Valley,710000
909,Moonee Valley,732000
910,Moonee Valley,715000
911,Melbourne,785000
912,Melbourne,852000
913,Melbourne,1037000
914,Melbourne,3825351.927
915,Moonee Valley,845000
916,Melbourne,492500
917,Melbourne,420000
918,Melbourne,3479993.246
919,Melbourne,1271000
920,Melbourne,4227516.672
921,Melbourne,750000
922,Melbourne,4126024.366
923,Melbourne,960000
924,Melbourne,4212770.992
925,Melbourne,3304449.22
926,Melbourne,1165000
927,Melbourne,1710000
928,Melbourne,1455000
929,Melbourne,365000
930,Melbourne,442000
931,Melbourne,765000
932,Melbourne,515000
933,Melbourne,370000
934,Melbourne,1234500
935,Melbourne,666000
936,Melbourne,825000
937,Melbourne,812000
938,Melbourne,1900000
939,Moonee Valley,445000
940,Melbourne,732000
941,Melbourne,1260000
942,Melbourne,1000000
943,Moonee Valley,1155000
944,Melbourne,790000
945,Melbourne,700000
946,Melbourne,1230000
947,Melbourne,460000
948,Melbourne,3912865.373
949,Melbourne,850000
950,Melbourne,3614256.066
951,Melbourne,773000
952,Melbourne,631090
953,Melbourne,410000
954,Melbourne,425000
955,Boroondara,520000
956,Boroondara,610000
957,Boroondara,882000
958,Boroondara,3550000
959,Boroondara,1326000
960,Boroondara,1950000
961,Boroondara,2550000
962,Boroondara,1878000
963,Boroondara,1910000
964,Boroondara,1410000
965,Boroondara,2310000
966,Boroondara,2315000
967,Boroondara,800000
968,Boroondara,4850000
969,Boroondara,5296589.039
970,Boroondara,580000
971,Boroondara,1905000
972,Boroondara,478000
973,Boroondara,672000
974,Boroondara,2286000
975,Boroondara,1575000
976,Boroondara,590000
977,Boroondara,2350000
978,Boroondara,1312000
979,Boroondara,890000
980,Boroondara,1331000
981,Boroondara,1800000
982,Boroondara,1476000
983,Boroondara,2590000
984,Boroondara,5500642.103
985,Boroondara,2265000
986,Boroondara,1975000
987,Boroondara,2550000
988,Boroondara,1330000
989,Boroondara,1450000
990,Boroondara,3650000
991,Boroondara,551000
992,Boroondara,2460000
993,Boroondara,2850000
994,Boroondara,2425000
995,Boroondara,610000
996,Boroondara,955000
997,Boroondara,5061139.966
998,Boroondara,732000
999,Boroondara,2875000
1000,Boroondara,1500000
1001,Boroondara,1750000
1002,Boroondara,1100000
1003,Boroondara,1440000
1004,Boroondara,2560000
1005,Boroondara,2600000
1006,Boroondara,3280000
1007,Boroondara,620000
1008,Boroondara,2600000
1009,Boroondara,2800000
1010,Boroondara,1420000
1011,Boroondara,1800000
1012,Boroondara,395000
1013,Boroondara,2250000
1014,Boroondara,2490000
1015,Boroondara,1950000
1016,Boroondara,605000
1017,Boroondara,1920000
1018,Boroondara,1615000
1019,Boroondara,2081000
1020,Boroondara,1315000
1021,Boroondara,1750000
1022,Boroondara,2100000
1023,Boroondara,1300000
1024,Boroondara,1315000
1025,Boroondara,1620000
1026,Melbourne,780000
1027,Melbourne,535000
1028,Melbourne,450000
1029,Melbourne,3378937.224
1030,Melbourne,665000
1031,Melbourne,386000
1032,Melbourne,659000
1033,Melbourne,545000
1034,Melbourne,3724919.02
1035,Melbourne,432000
1036,Melbourne,750000
1037,Melbourne,375000
1038,Melbourne,680000
1039,Melbourne,470000
1040,Melbourne,650000
1041,Melbourne,483000
1042,Melbourne,700000
1043,Melbourne,520000
1044,Melbourne,3818703.911
1045,Melbourne,733000
1046,Melbourne,760000
1047,Melbourne,360000
1048,Moonee Valley,670000
1049,Moonee Valley,1055000
1050,Moonee Valley,348000
1051,Moonee Valley,1780000
1052,Moonee Valley,1440000
1053,Moonee Valley,1225000
1054,Moonee Valley,1445000
1055,Moonee Valley,990000
1056,Moonee Valley,1550000
1057,Moonee Valley,1170000
1058,Moonee Valley,1120000
1059,Moonee Valley,1530000
1060,Moonee Valley,832000
1061,Moonee Valley,420000
1062,Moonee Valley,2400000
1063,Moonee Valley,565000
1064,Moonee Valley,550000
1065,Moonee Valley,1211000
1066,Moonee Valley,1630000
1067,Moonee Valley,1160000
1068,Moonee Valley,1361500
1069,Moonee Valley,945000
1070,Moonee Valley,360000
1071,Moonee Valley,860000
1072,Moonee Valley,1637000
1073,Moonee Valley,1505000
1074,Moonee Valley,515000
1075,Moonee Valley,330000
1076,Moonee Valley,1322000
1077,Moonee Valley,2965477.147
1078,Moonee Valley,3669298.206
1079,Moonee Valley,1900000
1080,Moonee Valley,2340000
1081,Moonee Valley,1400000
1082,Moonee Valley,1640000
1083,Moonee Valley,1480000
1084,Moonee Valley,410000
1085,Moonee Valley,980000
1086,Moonee Valley,842500
1087,Moonee Valley,1345000
1088,Moonee Valley,265000
1089,Moonee Valley,849000
1090,Moonee Valley,1425000
1091,Moonee Valley,3416420.633
1092,Moonee Valley,330000
1093,Moonee Valley,726000
1094,Moonee Valley,2937384.04
1095,Moonee Valley,3642114.299
1096,Moonee Valley,1725000
1097,Moonee Valley,600000
1098,Moonee Valley,1505000
1099,Moonee Valley,850000
1100,Moonee Valley,292000
1101,Moonee Valley,1740000
1102,Moonee Valley,470000
1103,Moonee Valley,1130000
1104,Moonee Valley,930000
1105,Moonee Valley,336000
1106,Moonee Valley,800000
1107,Moonee Valley,830000
1108,Moonee Valley,1126000
1109,Moonee Valley,1235000
1110,Moonee Valley,457000
1111,Moonee Valley,660000
1112,Moonee Valley,770000
1113,Moonee Valley,1350000
1114,Moonee Valley,820000
1115,Moonee Valley,991000
1116,Moonee Valley,970000
1117,Moonee Valley,657000
1118,Moonee Valley,710000
1119,Moonee Valley,840000
1120,Moonee Valley,1400000
1121,Moonee Valley,1080000
1122,Moonee Valley,1015000
1123,Moonee Valley,1245000
1124,Moonee Valley,1105000
1125,Melbourne,2920000
1126,Melbourne,540000
1127,Melbourne,726000
1128,Melbourne,1340000
1129,Melbourne,1105000
1130,Melbourne,841000
1131,Melbourne,528500
1132,Melbourne,410000
1133,Melbourne,3178498.924
1134,Melbourne,470000
1135,Melbourne,3557166.871
1136,Melbourne,720000
1137,Melbourne,1325000
1138,Melbourne,368000
1139,Melbourne,450000
1140,Melbourne,1385000
1141,Melbourne,990000
1142,Melbourne,606000
1143,Melbourne,450000
1144,Melbourne,1470000
1145,Melbourne,1010000
1146,Melbourne,1266000
1147,Melbourne,620000
1148,Melbourne,630000
1149,Melbourne,560000
1150,Melbourne,665500
1151,Melbourne,550055
1152,Melbourne,358000
1153,Melbourne,320000
1154,Melbourne,1000000
1155,Melbourne,598000
1156,Melbourne,950000
1157,Melbourne,885000
1158,Melbourne,587134
