id,edad,genero,encuesta,satisfaccion,compra,articulos
118,36,Mujer,0,,,3
119,34,,1,1,228.6,4
120,29,Hombre,1,2,162.7,4
121,35.5,,1,5,245.3,3
122,27.5,,1,5,221.2,
123,40.5,Hombre,1,3,207.1,4
124,31.5,Hombre,0,,247.2,4
125,35,Hombre,1,4,156.9,
126,35.5,Hombre,1,2,181.7,3
127,32.5,Hombre,1,2,281.7,5
128,37,Mujer,1,3,262.6,
129,31.5,Mujer,1,1,281.4,3
130,38.5,Hombre,0,,,6
131,27,,1,5,99.8,5
132,34.5,Mujer,1,5,265.8,6
133,44.5,Hombre,1,4,175.3,4
134,28.5,Mujer,1,3,267.8,8
135,30.5,Hombre,1,3,167.8,6
136,36.5,Mujer,1,4,102.9,
137,35,,1,5,157.2,3
138,36,Mujer,1,3,134.2,
139,36.5,Hombre,1,5,228.6,
140,37.5,Hombre,1,1,160.5,3
141,40,Mujer,0,,,8
142,36,Hombre,1,1,196.2,4
143,32.5,Mujer,1,3,300.5,8
144,37.5,,1,5,181.7,
145,44,Hombre,1,5,287.7,8
146,33.5,,1,2,140.3,
147,29,Hombre,1,3,264.7,4
148,40,Hombre,1,3,333.1,
149,33.5,Hombre,1,5,1069.9,6
150,22.5,Mujer,1,5,165.2,
151,38.5,Mujer,1,5,268.3,6
152,31,Hombre,1,3,209.8,7
153,33.5,Hombre,0,,,
154,36,Mujer,1,3,252.8,
155,35,Mujer,1,2,179.7,
156,38,Hombre,0,,,
157,31.5,Mujer,0,,257.3,8
158,36.5,Hombre,1,1,231.5,
159,32.5,Hombre,1,5,213.3,8
160,38,Hombre,0,,,
161,37.5,Mujer,1,5,312.6,
162,29,Hombre,1,5,244.1,
163,40,Mujer,1,5,250.3,4
164,31,,0,,,
165,38.5,Hombre,1,3,194.1,
166,36,Mujer,1,4,188.4,3
167,44,Hombre,1,5,192.6,
168,33,Mujer,0,,,8
169,32,Hombre,1,5,254.6,
170,34,Mujer,0,,183.8,3
171,32.5,Hombre,1,2,193.4,
172,38.5,Hombre,1,3,246.7,3
173,25.5,Mujer,1,2,380.7,6
174,28.5,Mujer,1,5,290.3,
175,28.5,Mujer,1,4,200.5,7
176,39,Hombre,1,2,315.1,6
177,43,Hombre,1,4,194.4,5
178,33.5,,1,4,1947.8,7
179,33,Hombre,0,,,5
180,34.5,Hombre,1,3,149.4,7
181,40,Hombre,1,2,84.7,8
182,29,Mujer,1,4,198.6,
183,35.5,Hombre,1,3,226.4,6
184,39,Hombre,1,4,350.7,
185,36.5,,1,3,249.5,4
186,35,Hombre,1,5,208.6,
187,39.5,Hombre,1,3,287.2,
188,19.5,Hombre,1,3,1597.5,8
