id,ciudad,edad,genero,mes,ordenes,pago,usd
233,Leon,23,Female,Jan 20,1,1,74
234,Monterrey,30,Female,Jan 20,4,1,1119
235,Monterrey,51,Male,Jan 20,4,1,623
236,Guadalajara,43,Female,Jan 20,2,1,593
237,Monterrey,42,Male,Jan 20,8,0,980
238,Guadalajara,46,Male,Jan 20,3,1,156
239,Monterrey,49,Male,Jan 20,6,1,577
240,Leon,40,Female,Jan 20,2,1,494
241,Monterrey,33,Female,Jan 20,0,0,0
242,Guadalajara,36,Male,Jan 20,6,1,1001
243,Guadalajara,47,Female,Jan 20,5,1,1281
244,Monterrey,46,Male,Jan 20,0,0,0
245,Guadalajara,33,Male,Jan 20,5,1,223
246,Puebla,41,Male,Jan 20,0,0,0
247,Puebla,26,Male,Jan 20,1,1,217
248,Guadalajara,32,Male,Jan 20,0,0,0
249,Guadalajara,50,Male,Jan 20,5,1,295
250,Puebla,54,Male,Jan 20,7,1,1549
251,Puebla,42,Male,Jan 20,8,1,1165
252,Leon,55,Male,Jan 20,2,1,307
253,Monterrey,33,Male,Jan 20,8,1,1088
254,Monterrey,32,Male,Jan 20,3,1,448
255,Puebla,51,Male,Jan 20,7,1,743
256,Guadalajara,26,Female,Jan 20,8,1,429
257,Leon,43,Male,Jan 20,6,1,185
258,Monterrey,33,Male,Jan 20,3,1,174
259,Leon,43,Male,Jan 20,2,1,256
260,Puebla,36,Male,Jan 20,4,1,251
261,Puebla,46,Male,Jan 20,2,1,138
262,Guadalajara,40,Female,Jan 20,0,0,0
263,Guadalajara,26,Female,Jan 20,1,1,122
264,Leon,39,Female,Jan 20,0,0,0
265,Guadalajara,49,Male,Jan 20,8,1,326
266,Leon,39,Female,Jan 20,6,1,1286
267,Monterrey,43,Male,Jan 20,0,0,0
268,Leon,25,Female,Jan 20,8,0,1084
269,Guadalajara,35,Female,Jan 20,7,1,1875
270,Leon,34,Female,Jan 20,8,1,1082
271,Monterrey,25,Female,Jan 20,6,1,595
272,Leon,42,Male,Jan 20,2,1,156
273,Leon,34,Female,Jan 20,2,1,62
274,Guadalajara,33,Female,Jan 20,8,1,246
275,Puebla,26,Male,Jan 20,3,1,563
276,Monterrey,48,Male,Jan 20,7,1,1069
277,Puebla,34,Female,Jan 20,1,1,270
278,Leon,20,Female,Jan 20,6,1,497
279,Leon,41,Male,Jan 20,7,1,172
280,Leon,42,Female,Jan 20,7,1,882
281,Leon,33,Female,Jan 20,6,0,690
282,Guadalajara,47,Male,Jan 20,4,0,70
283,Guadalajara,29,Female,Jan 20,2,1,390
284,Guadalajara,25,Female,Jan 20,8,1,1125
285,Guadalajara,30,Male,Jan 20,3,0,323
286,Puebla,43,Male,Jan 20,5,0,1221
287,Guadalajara,33,Male,Jan 20,3,1,781
288,Puebla,36,Male,Jan 20,6,1,1477
289,Guadalajara,27,Female,Jan 20,1,1,274
290,Guadalajara,54,Male,Jan 20,2,0,315
291,Guadalajara,33,Male,Jan 20,4,1,867
292,Puebla,22,Female,Jan 20,4,1,999
293,Monterrey,48,Male,Jan 20,4,1,854
294,Monterrey,46,Male,Jan 20,7,1,1822
295,Guadalajara,44,Male,Jan 20,2,1,230
296,Leon,27,Male,Jan 20,4,1,997
297,Leon,20,Female,Jan 20,3,1,226
298,Leon,35,Female,Jan 20,5,1,942
299,Leon,25,Female,Jan 20,6,1,1223
300,Guadalajara,52,Male,Jan 20,6,1,795
301,Guadalajara,50,Male,Jan 20,0,0,0
302,Guadalajara,40,Male,Jan 20,3,1,519
303,Puebla,33,Female,Jan 20,1,1,60
304,Monterrey,44,Male,Jan 20,3,1,642
305,Guadalajara,28,Female,Jan 20,1,1,275
306,Leon,44,Male,Jan 20,3,1,426
307,Puebla,20,Female,Jan 20,1,1,23
308,Monterrey,38,Male,Jan 20,1,1,293
309,Puebla,20,Female,Jan 20,2,1,427
310,Monterrey,33,Male,Jan 20,1,1,16
311,Leon,29,Male,Jan 20,1,1,226
312,Puebla,39,Male,Jan 20,2,1,560
313,Monterrey,48,Male,Jan 20,2,1,528
314,Puebla,20,Female,Jan 20,1,0,197
315,Guadalajara,25,Male,Jan 20,1,1,191
316,Leon,34,Male,Jan 20,2,1,452
317,Monterrey,25,Female,Jan 20,1,1,155
318,Guadalajara,53,Male,Jan 20,1,0,181
319,Leon,29,Male,Jan 20,1,1,195
320,Monterrey,36,Female,Jan 20,3,0,326
321,Guadalajara,37,Female,Jan 20,2,1,521
322,Leon,41,Female,Jan 20,1,1,150
323,Puebla,34,Male,Jan 20,3,1,278
324,Guadalajara,23,Female,Jan 20,2,1,391
325,Guadalajara,39,Male,Jan 20,1,1,231
326,Monterrey,38,Female,Jan 20,1,1,29
327,Leon,53,Male,Jan 20,1,1,248
328,Leon,36,Male,Jan 20,2,0,599
329,Leon,21,Female,Jan 20,1,1,212
330,Leon,22,Female,Jan 20,3,1,306
331,Monterrey,45,Male,Jan 20,3,1,869
332,Puebla,36,Male,Jan 20,2,1,346
333,Leon,38,Female,Jan 20,3,1,444
334,Puebla,22,Female,Jan 20,2,1,188
335,Puebla,41,Female,Jan 20,2,1,578
336,Leon,53,Male,Jan 20,1,1,219
337,Leon,50,Male,Jan 20,2,1,502
338,Leon,34,Female,Jan 20,3,0,283
339,Leon,41,Female,Jan 20,2,1,56
340,Monterrey,37,Female,Jan 20,2,1,187
341,Monterrey,48,Male,Jan 20,1,1,19
342,Monterrey,33,Female,Jan 20,2,1,254
343,Leon,23,Female,Jan 20,2,1,476
344,Monterrey,48,Male,Jan 20,1,1,33
345,Leon,50,Male,Jan 20,2,1,214
346,Monterrey,32,Female,Jan 20,3,1,633
347,Leon,38,Male,Jan 20,3,1,304
348,Leon,53,Male,Jan 20,1,1,38
349,Puebla,40,Male,Jan 20,2,1,422
350,Leon,48,Male,Jan 20,2,1,213
351,Monterrey,38,Female,Jan 20,2,0,536
352,Leon,42,Female,Jan 20,3,1,229
353,Monterrey,39,Male,Jan 20,1,1,191
354,Leon,41,Female,Jan 20,1,1,182
355,Puebla,39,Female,Jan 20,2,1,583
356,Monterrey,35,Female,Jan 20,3,1,394
357,Monterrey,42,Male,Jan 20,3,1,115
358,Leon,34,Male,Jan 20,3,1,69
359,Monterrey,31,Female,Jan 20,2,1,176
360,Monterrey,34,Female,Jan 20,3,1,638
361,Leon,36,Male,Jan 20,2,1,197
362,Puebla,42,Male,Jan 20,1,1,289
363,Puebla,32,Male,Jan 20,1,1,186
364,Monterrey,53,Male,Jan 20,1,0,28
365,Leon,53,Male,Jan 20,3,1,178
366,Monterrey,53,Female,Jan 20,2,1,389
367,Monterrey,53,Female,Jan 20,3,1,707
368,Leon,38,Female,Jan 20,1,1,52
369,Leon,36,Male,Jan 20,1,1,23
370,Monterrey,23,Female,Jan 20,2,1,334
371,Puebla,37,Male,Jan 20,3,1,106
372,Monterrey,38,Female,Jan 20,3,1,289
373,Monterrey,51,Male,Jan 20,2,1,406
374,Puebla,35,Female,Jan 20,3,1,631
375,Puebla,31,Female,Jan 20,3,1,188
376,Monterrey,24,Female,Jan 20,3,1,756
377,Monterrey,55,Female,Jan 20,3,1,148
378,Puebla,37,Male,Jan 20,2,1,375
379,Monterrey,49,Male,Jan 20,2,1,87
380,Monterrey,28,Female,Jan 20,3,1,267
381,Puebla,41,Female,Jan 20,3,1,722
382,Monterrey,55,Male,Jan 20,3,1,254
383,Monterrey,37,Male,Jan 20,2,1,443
384,Monterrey,39,Male,Jan 20,1,1,74
385,Monterrey,51,Female,Jan 20,3,1,100
386,Puebla,35,Female,Jan 20,2,1,443
387,Puebla,54,Female,Jan 20,3,1,283
388,Puebla,58,Male,Jan 20,3,1,382
389,Monterrey,29,Female,Jan 20,3,1,80
390,Monterrey,42,Female,Jan 20,2,1,217
391,Puebla,41,Male,Jan 20,2,0,345
392,Monterrey,50,Male,Jan 20,2,1,548
393,Puebla,33,Female,Jan 20,1,1,157
394,Monterrey,29,Female,Jan 20,2,1,431
395,Monterrey,33,Female,Jan 20,3,1,449
396,Monterrey,50,Male,Jan 20,2,1,546
397,Puebla,31,Female,Jan 20,2,1,288
398,Puebla,54,Female,Jan 20,3,1,185
399,Monterrey,50,Male,Jan 20,3,1,114
400,Monterrey,48,Male,Jan 20,3,1,645
401,Puebla,55,Male,Jan 20,5,0,1442
402,Monterrey,35,Female,Jan 20,7,1,1426
403,Puebla,40,Male,Jan 20,7,1,1384
404,Puebla,24,Female,Jan 20,7,1,543
405,Puebla,35,Female,Jan 20,5,0,265
406,Monterrey,35,Female,Jan 20,6,1,1105
407,Monterrey,48,Male,Jan 20,7,1,1215
408,Puebla,56,Male,Jan 20,5,1,555
409,Monterrey,42,Male,Jan 20,6,1,1543
410,Monterrey,35,Female,Jan 20,7,1,1799
411,Puebla,53,Female,Jan 20,5,1,897
412,Puebla,58,Female,Jan 20,6,0,1568
413,Puebla,26,Female,Jan 20,4,1,319
414,Puebla,42,Male,Jan 20,6,1,231
415,Monterrey,31,Female,Jan 20,4,1,912
416,Puebla,46,Male,Jan 20,6,1,194
417,Monterrey,44,Male,Jan 20,7,1,992
418,Puebla,42,Female,Jan 20,4,1,153
419,Puebla,40,Male,Jan 20,7,1,109
420,Monterrey,50,Male,Jan 20,7,1,1350
421,Puebla,25,Female,Jan 20,5,1,701
422,Monterrey,40,Female,Jan 20,7,1,1229
423,Monterrey,43,Male,Jan 20,5,1,1007
424,Monterrey,39,Male,Jan 20,4,1,755
425,Monterrey,29,Female,Jan 20,7,1,897
426,Monterrey,35,Female,Jan 20,4,1,1084
427,Monterrey,52,Male,Jan 20,4,0,821
428,Puebla,26,Female,Jan 20,5,1,1052
429,Puebla,37,Male,Jan 20,4,1,1062
430,Monterrey,33,Female,Jan 20,2,1,163
431,Monterrey,32,Male,Jan 20,1,1,295
432,Puebla,35,Female,Jan 20,1,1,85
433,Monterrey,37,Female,Jan 20,3,1,811
434,Monterrey,35,Male,Jan 20,4,1,643
435,Monterrey,34,Male,Jan 20,0,0,0
436,Puebla,40,Male,Jan 20,2,1,485
437,Puebla,43,Male,Jan 20,0,0,0
438,Puebla,30,Female,Jan 20,0,0,0
439,Puebla,34,Male,Jan 20,3,1,417
440,Monterrey,28,Female,Jan 20,3,1,308
441,Puebla,33,Female,Jan 20,3,1,852
442,Puebla,36,Female,Jan 20,3,1,249
443,Puebla,36,Female,Jan 20,4,1,775
444,Monterrey,37,Male,Jan 20,4,1,460
445,Monterrey,55,Male,Jan 20,1,1,247
446,Puebla,30,Female,Jan 20,3,1,554
447,Puebla,46,Male,Jan 20,0,0,0
448,Monterrey,34,Male,Jan 20,4,1,227
449,Puebla,32,Male,Jan 20,2,1,147
450,Puebla,39,Female,Jan 20,0,0,0
451,Monterrey,37,Female,Jan 20,3,1,312
452,Puebla,50,Male,Jan 20,0,0,0
453,Monterrey,28,Female,Jan 20,3,1,65
454,Monterrey,39,Female,Jan 20,3,1,704
455,Puebla,50,Female,Jan 20,3,1,572
456,Monterrey,47,Male,Jan 20,1,1,269
457,Puebla,50,Male,Jan 20,1,1,295
458,Puebla,25,Female,Jan 20,3,1,345
459,Monterrey,26,Female,Jan 20,4,1,257
460,Puebla,51,Male,Jan 20,1,1,258
461,Monterrey,27,Male,Jan 20,3,1,594
462,Puebla,31,Female,Jan 20,0,0,0
463,Monterrey,53,Male,Jan 20,1,1,175
464,Puebla,30,Female,Jan 20,0,0,0
465,Puebla,34,Female,Jan 20,2,1,273
466,Monterrey,42,Female,Jan 20,1,1,251
467,Puebla,28,Female,Jan 20,3,1,238
468,Puebla,39,Male,Jan 20,3,1,389
469,Puebla,29,Male,Jan 20,3,1,550
470,Puebla,47,Male,Jan 20,4,1,1075
471,Monterrey,40,Female,Jan 20,0,0,0
472,Monterrey,57,Male,Jan 20,1,1,110
473,Monterrey,36,Female,Jan 20,2,1,370
474,Monterrey,50,Female,Jan 20,3,0,804
475,Puebla,28,Female,Jan 20,2,1,534
476,Puebla,25,Female,Jan 20,0,0,0
477,Monterrey,52,Female,Jan 20,0,0,0
478,Puebla,34,Female,Jan 20,4,1,218
479,Monterrey,41,Female,Jan 20,3,1,159
480,Puebla,49,Female,Jan 20,0,0,0
481,Puebla,34,Female,Jan 20,2,1,548
482,Puebla,33,Female,Jan 20,2,1,158
483,Monterrey,42,Female,Jan 20,4,1,414
484,Monterrey,38,Female,Jan 20,4,1,1069
485,Monterrey,36,Male,Jan 20,0,0,0
486,Puebla,34,Male,Jan 20,3,1,96
487,Monterrey,36,Male,Jan 20,2,1,558
488,Puebla,52,Male,Jan 20,4,0,447
489,Monterrey,43,Male,Jan 20,2,1,537
490,Puebla,27,Female,Jan 20,2,1,359
491,Monterrey,48,Male,Jan 20,3,1,733
492,Monterrey,27,Female,Jan 20,0,0,0
493,Monterrey,44,Male,Jan 20,0,0,0
494,Puebla,49,Male,Jan 20,1,1,67
495,Monterrey,43,Male,Jan 20,2,1,445
496,Monterrey,40,Female,Jan 20,2,1,270
497,Monterrey,37,Male,Jan 20,4,1,802
498,Puebla,50,Male,Jan 20,0,0,0
499,Monterrey,39,Male,Jan 20,2,1,125
500,Puebla,42,Male,Jan 20,1,1,35
1,Guadalajara,33,Male,feb 20,2,0,241
2,Guadalajara,23,Female,feb 20,1,1,272
3,Monterrey,23,Female,feb 20,1,1,124
4,Leon,24,Female,feb 20,2,1,297
5,Puebla,46,Male,feb 20,4,1,474
6,Guadalajara,35,Female,feb 20,1,1,259
7,Guadalajara,36,Male,feb 20,0,0,0
8,Guadalajara,63,Female,feb 20,4,1,246
9,Puebla,53,Male,feb 20,4,1,589
10,Guadalajara,41,Male,feb 20,2,1,252
11,Leon,47,Male,feb 20,4,1,520
12,Puebla,63,Female,feb 20,2,1,141
13,Leon,43,Male,feb 20,2,1,457
14,Puebla,38,Male,feb 20,1,1,68
15,Guadalajara,43,Male,feb 20,1,1,182
16,Guadalajara,53,Male,feb 20,3,1,667
17,Monterrey,24,Female,feb 20,0,0,0
18,Guadalajara,43,Male,feb 20,0,0,0
19,Leon,47,Male,feb 20,4,0,200
20,Guadalajara,42,Male,feb 20,3,1,807
21,Monterrey,31,Female,feb 20,3,1,179
22,Guadalajara,38,Male,feb 20,0,0,0
23,Leon,35,Female,feb 20,4,0,712
24,Guadalajara,64,Female,feb 20,4,1,271
25,Leon,42,Male,feb 20,2,1,91
26,Puebla,28,Female,feb 20,2,1,148
27,Leon,35,Female,feb 20,2,1,261
28,Monterrey,61,Female,feb 20,4,1,120
29,Monterrey,39,Male,feb 20,1,1,197
30,Guadalajara,32,Female,feb 20,2,1,119
31,Guadalajara,40,Female,feb 20,1,1,84
32,Guadalajara,42,Female,feb 20,2,1,333
33,Guadalajara,49,Male,feb 20,2,1,581
34,Leon,29,Female,feb 20,2,1,281
35,Leon,38,Female,feb 20,2,1,384
36,Monterrey,31,Female,feb 20,1,1,240
37,Leon,62,Female,feb 20,1,1,190
38,Monterrey,47,Male,feb 20,2,1,467
39,Guadalajara,25,Male,feb 20,0,0,0
40,Guadalajara,40,Male,feb 20,2,1,38
41,Monterrey,27,Female,feb 20,2,1,131
42,Leon,46,Male,feb 20,2,1,550
43,Puebla,37,Female,feb 20,3,1,180
44,Monterrey,41,Male,feb 20,1,1,26
45,Monterrey,61,Female,feb 20,3,1,766
46,Puebla,40,Female,feb 20,1,1,201
47,Guadalajara,40,Male,feb 20,2,1,112
48,Guadalajara,62,Female,feb 20,4,1,322
49,Puebla,25,Female,feb 20,0,0,0
50,Monterrey,49,Male,feb 20,1,1,77
51,Leon,25,Female,feb 20,3,1,885
52,Monterrey,28,Female,feb 20,1,1,188
53,Guadalajara,25,Female,feb 20,1,1,32
54,Guadalajara,33,Female,feb 20,4,0,424
55,Leon,32,Male,feb 20,4,1,943
56,Puebla,55,Male,feb 20,1,1,116
57,Guadalajara,36,Female,feb 20,0,0,0
58,Leon,42,Male,feb 20,0,0,0
59,Monterrey,37,Male,feb 20,2,0,511
60,Puebla,35,Male,feb 20,3,1,875
61,Monterrey,36,Female,feb 20,4,1,985
62,Leon,25,Female,feb 20,4,1,272
63,Guadalajara,41,Male,feb 20,1,0,97
64,Puebla,34,Female,feb 20,2,1,146
65,Leon,65,Female,feb 20,0,0,0
66,Leon,35,Male,feb 20,1,1,279
67,Guadalajara,65,Female,feb 20,2,1,284
68,Monterrey,34,Male,feb 20,2,1,281
69,Monterrey,32,Male,feb 20,0,0,0
70,Leon,25,Female,feb 20,0,0,0
