Area,Direccion,CodigoPostal,Fecha,Precio,Habitaciones,Distacia,Banos,Carros,Terreno,Construccion,AnoConstriccion
Port Phillip,105 Kerferd Rd,3206,10/1/2024,1275000,2,3.3,1,0,120,82,
Port Phillip,112 Beaconsfield Pde,3206,10/1/2024,,3,3.3,2,0,211,198,
Port Phillip,94 Graham St,3206,11/1/2024,1850000,3,3.3,2,0,128,133,
Port Phillip,396 Montague St,3206,10/1/2024,1436000,2,3.3,1,0,130,81,
Port Phillip,104 Richardson St,3206,11/1/2024,2300000,4,3.3,2,1,153,180,
Port Phillip,1 Moubray St,3206,12/1/2024,,3,3.3,2,1,132,159,1996
Port Phillip,29 Faussett St,3206,12/1/2024,2120000,2,3.3,1,1,199,107,
Port Phillip,24 Kerferd Pl,3206,11/1/2024,1800000,3,3.3,2,1,90,122,
Port Phillip,2 Dundas Pl,3206,10/1/2024,2615000,3,3.3,2,1,177,181,
Port Phillip,4a Gatehouse La,3206,12/1/2024,1370000,3,3.3,2,2,0,85,2000
Port Phillip,65 Graham St,3206,,1322500,2,3.3,1,0,149,98,
Port Phillip,364 Montague St,3206,10/1/2024,1562500,2,3.3,1,0,141,83,
Port Phillip,86 Mills St,3206,10/1/2024,2000000,3,3.3,2,1,211,147,
Port Phillip,97 Page St,3206,10/1/2024,3010000,3,3.3,2,0,147,146,
Port Phillip,55 Withers St,3206,12/1/2024,2800000,4,3.3,3,1,327,254,
Port Phillip,55 Merton St,3206,12/1/2024,2100000,3,3.3,1,1,120,123,
Port Phillip,49 Page St,3206,12/1/2024,2000000,3,3.3,1,1,238,131,
Port Phillip,13/52 Moubray St,3206,12/1/2024,442500,1,3.3,1,0,0,34,1970
Port Phillip,115 Page St,3206,11/1/2024,4735000,4,3.3,2,1,330,207,
Port Phillip,27 Barrett St,3206,12/1/2024,2140000,4,3.3,2,1,183,145,
Port Phillip,6 Brooke St,3206,10/1/2024,980000,2,3.3,1,0,79,68,
Port Phillip,17 Reed St,3206,11/1/2024,1740000,3,3.3,2,2,147,134,
Port Phillip,9 Durham St,3206,10/1/2024,985000,1,3.3,1,0,81,54,
Darebin,6 Smith St,3078,11/1/2024,2000000,4,6.4,2,4,853,263,
Darebin,44 Shiers St,3078,10/1/2024,1717500,4,6.4,2,1,599,203,
Darebin,83 Fulham Rd,3078,11/1/2024,2840000,5,6.4,4,4,809,165,
Darebin,3/19 Harker St,3078,11/1/2024,525500,2,6.4,1,1,88,60,1960
Darebin,4/2 Miller St,3078,12/1/2024,805000,2,6.4,2,3,155,140,2004
Darebin,10 Bennett St,3078,10/1/2024,,4,6.4,2,2,606,112,1970
Darebin,38 Bennett St,3078,11/1/2024,2100000,4,6.4,2,2,575,271,2008
Darebin,2c Hamilton St,3078,12/1/2024,865000,3,6.4,1,1,180,131,2010
Darebin,5/5 Yarana Rd,3078,,,2,6.4,1,1,0,60,1960
Darebin,1/14 Fulham Rd,3078,11/1/2024,512000,2,6.4,1,1,0,61,1965
Yarra,11 Margaret Gr,3078,11/1/2024,1900000,4,6.4,2,2,556,272,
Darebin,42 Shiers St,3078,10/1/2024,1950000,4,6.4,2,3,589,210,
Hobsons Bay,158 Queen St,3018,10/1/2024,520000,3,13.8,2,1,352,242,2015
Hobsons Bay,59 Bracken Gr,3018,11/1/2024,1525000,5,13.8,3,3,729,268,2005
Hobsons Bay,1/123 Blyth St,3018,12/1/2024,720000,2,13.8,1,2,292,125,2013
Hobsons Bay,4 Blyth St,3018,10/1/2024,1120000,3,13.8,1,2,506,120,
Hobsons Bay,29 Rose St,3018,11/1/2024,1780000,4,13.8,3,6,1057,220,1962
Hobsons Bay,1/170 Blyth St,3018,11/1/2024,630000,3,13.8,1,2,311,94,1955
Hobsons Bay,156 Maidstone St,3018,,660000,3,13.8,1,1,602,123,1955
Hobsons Bay,1/136 Queen St,3018,10/1/2024,,2,13.8,1,1,225,93,1988
Hobsons Bay,173 Queen St,3018,12/1/2024,1335000,3,13.8,1,4,777,22,1953
Hobsons Bay,3/26 Grieve Pde,3018,12/1/2024,,2,13.8,1,1,127,76,1990
Hobsons Bay,4/5 Rose St,3018,11/1/2024,425000,2,13.8,1,2,115,57,1980
Hobsons Bay,1A Merritt Ct,3018,10/1/2024,705000,3,13.8,2,2,197,152,
Hobsons Bay,4/31 Millers Rd,3018,11/1/2024,391000,2,13.8,1,1,0,65,1965
Hobsons Bay,24 Wren St,3018,,845000,4,13.8,1,2,745,130,1950
Hobsons Bay,1/152 Blyth St,3018,12/1/2024,743000,3,13.8,2,2,211,176,
Hobsons Bay,4/57 Blyth St,3018,11/1/2024,730000,3,13.8,2,1,69,141,2014
Hobsons Bay,3/46 Sargood St,3018,,447000,2,13.8,1,1,137,77,1990
Hobsons Bay,22 Fenfield St,3018,10/1/2024,678000,3,13.8,1,2,606,87,1950
Hobsons Bay,5/8 David St,3018,,580000,2,13.8,2,1,175,76,2013
Hobsons Bay,27 McIntyre Dr,3018,10/1/2024,840000,3,13.8,2,2,534,136,1965
Hobsons Bay,3/20 Mulga St,3018,11/1/2024,577000,3,13.8,2,1,205,113,2007
Hobsons Bay,104 Maidstone St,3018,11/1/2024,,2,13.8,2,1,675,100,1950
Hobsons Bay,5/57 Blyth St,3018,12/1/2024,730000,3,13.8,2,1,70,3,2014
Hobsons Bay,2/60 David St,3018,,535600,2,13.8,1,1,154,91,1996
Hobsons Bay,45 Hearn St,3025,11/1/2024,1085000,5,11.1,3,6,592,251,1965
Hobsons Bay,4 Knapp St,3025,10/1/2024,781000,3,11.1,1,2,533,117,1970
Hobsons Bay,3/66 Marion St,3025,,,2,11.1,1,1,77,77,2009
Hobsons Bay,33 Carthy St,3025,11/1/2024,683000,3,11.1,1,2,534,167,1967
Hobsons Bay,1/5 Little St,3025,11/1/2024,720000,3,11.1,2,1,0,130,2012
Hobsons Bay,1/95 Mills St,3025,10/1/2024,,3,11.1,1,1,328,118,1970
Hobsons Bay,5 Binns St,3025,11/1/2024,710000,3,11.1,1,3,540,116,1960
Hobsons Bay,25 Allan St,3025,10/1/2024,875000,4,11.1,1,4,559,169,1965
Hobsons Bay,2/36 May St,3025,10/1/2024,675000,3,11.1,2,2,171,109,2012
Hobsons Bay,11 Beevers St,3025,10/1/2024,,3,11.1,1,2,585,97,1960
Hobsons Bay,21 Neal Ct,3025,10/1/2024,770000,3,11.1,1,3,602,603,
Hobsons Bay,31 Duosa Rd,3025,12/1/2024,923000,3,11.1,1,2,740,,
Hobsons Bay,252 Millers Rd,3025,10/1/2024,693000,4,11.1,2,4,315,170,2008
Hobsons Bay,1/156 Chambers Rd,3025,12/1/2024,620000,3,11.1,2,2,276,100,2010
Hobsons Bay,2 Gadsden St,3025,10/1/2024,728500,3,11.1,1,1,531,157,1960
Hobsons Bay,24 Hansen St,3025,10/1/2024,931000,3,11.1,2,1,590,160,1950
Hobsons Bay,6 Hill St,3025,12/1/2024,815000,3,11.1,2,3,555,130,1960
Hobsons Bay,5 Cresser St,3025,10/1/2024,1200000,4,11.1,1,4,633,158,1960
Hobsons Bay,4/221 Blackshaws Rd,3025,11/1/2024,292000,2,11.1,1,1,153,70,1970
Stonnington,8/19 Mercer Rd,3143,11/1/2024,599000,2,6.3,1,1,0,76,1964
Stonnington,14/71 Denbigh Rd,3143,10/1/2024,995000,3,6.3,2,2,0,100,1998
Stonnington,4/769 High St,3143,12/1/2024,1205000,3,6.3,2,2,101,105,2000
Stonnington,7 Llaneast St,3143,,,3,6.3,2,2,296,150,
Stonnington,28 Cambridge St,3143,11/1/2024,1870000,3,6.3,1,1,217,116,
Stonnington,3/20 Mercer Rd,3143,11/1/2024,1918000,3,6.3,2,2,0,165,1995
Stonnington,12 Willis St,3143,12/1/2024,2050000,3,6.3,2,1,205,116,
Stonnington,9/19 Mercer Rd,3143,,735000,3,6.3,2,1,2113,14,1970
Stonnington,10 William St,3143,11/1/2024,1435000,1,6.3,2,1,144,107,
Stonnington,15/405 Dandenong Rd,3143,12/1/2024,280000,1,6.3,1,1,0,38,1975
Stonnington,8/58 Sutherland Rd,3143,11/1/2024,592500,2,6.3,1,1,0,73,1970
Stonnington,40 New St,3143,12/1/2024,1210000,2,6.3,1,0,249,96,
Stonnington,35 Northcote Rd,3143,12/1/2024,2801000,4,6.3,2,2,624,222,
Stonnington,791 High St,3143,12/1/2024,1800000,3,6.3,2,2,405,121,
Stonnington,25 Llaneast St,3143,12/1/2024,2200000,4,6.3,1,2,495,163,
Stonnington,367 Dandenong Rd,3143,12/1/2024,5525000,6,6.3,3,4,1491,516,
Stonnington,10/581 Orrong Rd,3143,10/1/2024,,1,6.3,1,1,0,53,1970
Stonnington,14 New St,3143,,1300000,3,6.3,1,2,212,106,
Stonnington,6/51 Armadale St,3143,10/1/2024,704000,2,6.3,1,1,0,74,1969
Stonnington,12/41 Kooyong Rd,3143,10/1/2024,620000,2,6.3,1,1,0,98,1970
Stonnington,63 Denbigh Rd,3143,11/1/2024,1900000,3,6.3,1,2,328,108,
Stonnington,10/51 Armadale St,3143,10/1/2024,710000,2,6.3,1,1,2471,80,1970
Stonnington,1/14 Denbigh Rd,3143,10/1/2024,598000,2,6.3,1,1,0,88,1970
Stonnington,75 Sutherland Rd,3143,12/1/2024,1285000,3,6.3,1,2,186,80,
Stonnington,1/403 Dandenong Rd,3143,11/1/2024,520000,2,6.3,1,1,0,76,1970
Stonnington,44 Denbigh Rd,3143,11/1/2024,3625000,4,6.3,1,2,709,251,
Stonnington,44 Hampden Rd,3143,,4200000,4,6.3,3,3,563,333,2000
Stonnington,3/769 High St,3143,,1101000,3,6.3,1,2,103,3,2000
Stonnington,4 Mercer Rd,3143,12/1/2024,3512500,3,6.3,2,2,617,285,1998
Stonnington,1/31 Mercer Rd,3143,11/1/2024,869000,3,6.3,1,1,0,91,
Stonnington,5/555 Orrong Rd,3143,10/1/2024,567000,1,6.3,1,1,0,53,2013
Moonee Valley,30 Rothwell St,3032,11/1/2024,940000,3,5.9,1,2,298,108,
Moonee Valley,9/5 Rothwell St,3032,10/1/2024,467000,2,5.9,1,1,0,62,1980
Moonee Valley,7 Francis St,3032,11/1/2024,1380000,3,5.9,2,2,277,174,
Moonee Valley,2/21 Harold St,3032,,490000,2,5.9,1,1,423,62,1970
Moonee Valley,44 The Parade,3032,10/1/2024,1850000,4,5.9,3,1,478,270,
Moonee Valley,98 Epsom Rd,3032,10/1/2024,971000,3,5.9,2,2,285,128,
Moonee Valley,8 Geddes St,3032,,710000,2,5.9,1,1,214,77,
Moonee Valley,75 Maribyrnong Rd,3032,10/1/2024,2425000,6,5.9,3,2,1014,435,
Moonee Valley,119 Roseberry St,3032,10/1/2024,750000,2,5.9,1,1,226,92,
Moonee Valley,10 Fenton St,3032,10/1/2024,1053000,2,5.9,1,1,269,109,
Moonee Valley,10 McCully St,3032,,1377000,3,5.9,1,1,417,168,
Moonee Valley,120 Epsom Rd,3032,11/1/2024,970000,3,5.9,1,2,350,125,
Moonee Valley,63 Kent St,3032,10/1/2024,751000,2,5.9,1,1,118,79,
Moonee Valley,4 The Parade,3032,,950000,2,5.9,1,1,173,102,
Moonee Valley,1/17 Epsom Rd,3032,11/1/2024,685000,2,5.9,1,2,228,90,1995
Moonee Valley,41 Monash St,3032,10/1/2024,1230000,3,5.9,1,2,594,148,1960
Moonee Valley,51 Francis St,3032,,770000,2,5.9,1,1,226,87,
Moonee Valley,12 Mirams St,3032,,890000,4,5.9,1,1,300,185,
Moonee Valley,78 The Parade,3032,11/1/2024,1440000,3,5.9,1,1,487,131,
Moonee Valley,26 Newsom St,3032,11/1/2024,1000000,3,5.9,2,2,440,120,1955
Moonee Valley,8 Pentland St,3032,,1435000,3,5.9,2,2,532,147,1950
Moonee Valley,8/129 The Parade,3032,12/1/2024,,1,5.9,1,1,0,58,1972
Moonee Valley,52 Monash St,3032,11/1/2024,1425000,3,5.9,2,2,495,139,
Moonee Valley,58 Fenton St,3032,11/1/2024,1340000,4,5.9,2,2,683,232,1978
Moonee Valley,70 Munro St,3032,11/1/2024,955000,3,5.9,1,1,263,117,
Moonee Valley,125 Epsom Rd,3032,10/1/2024,1100000,4,5.9,2,5,559,195,
Moonee Valley,3/28 Ormond Rd,3032,10/1/2024,432000,2,5.9,1,1,0,62,1978
Moonee Valley,7 Angler Pde,3032,12/1/2024,1640000,4,5.9,3,2,562,204,
Moonee Valley,26 Ayr St,3032,,1430000,6,5.9,2,1,461,286,
Moonee Valley,2/127 Epsom Rd,3032,,610000,2,5.9,1,1,301,104,1995
Moonee Valley,57 The Parade,3032,12/1/2024,940000,3,5.9,3,1,491,127,1950
Moonee Valley,62 Mirams St,3032,10/1/2024,890000,3,5.9,1,1,242,110,
Moonee Valley,67 Hurtle St,3032,12/1/2024,1180000,3,5.9,2,2,617,149,
Moonee Valley,95 Walter St,3032,10/1/2024,1480000,4,5.9,2,2,597,180,
Moonee Valley,57 Monash St,3032,12/1/2024,1350000,3,5.9,1,3,575,,
Moonee Valley,3/8 Walter St,3032,11/1/2024,865000,2,5.9,2,1,146,132,2015
Moonee Valley,12/9 Milton St,3032,12/1/2024,,2,5.9,1,1,0,62,1975
Moonee Valley,21A Geddes St,3032,11/1/2024,1037500,3,5.9,1,2,506,110,
Moonee Valley,1/20 Newsom St,3032,10/1/2024,1050000,3,5.9,2,2,318,160,2013
Moonee Valley,4/27 Roseberry St,3032,10/1/2024,440000,2,5.9,1,1,0,65,1970
Moonee Valley,43 Bloomfield Rd,3032,12/1/2024,1430000,4,5.9,2,0,418,158,
Moonee Valley,21 Middle St,3032,10/1/2024,1130000,3,5.9,2,1,272,157,
Moonee Valley,78 Francis St,3032,10/1/2024,1135000,3,5.9,1,1,296,104,
Moonee Valley,25 Geddes St,3032,12/1/2024,950000,4,5.9,2,1,298,147,
Moonee Valley,106/246 Union Rd,3032,11/1/2024,790000,3,5.9,2,1,0,148,
Moonee Valley,18/54 Epsom Rd,3032,10/1/2024,390000,2,5.9,1,1,1957,69,2012
Moonee Valley,15 Mirams St,3032,12/1/2024,1345000,4,5.9,1,1,552,155,
Moonee Valley,44 Walter St,3032,11/1/2024,1381500,3,5.9,2,2,416,168,
Moonee Valley,25 Dalgety Dr,3032,10/1/2024,940000,3,5.9,2,2,285,172,2011
Moonee Valley,7 Dalgety Dr,3032,,995000,3,5.9,2,1,314,177,2010
Moonee Valley,6 Waller Ct,3032,,786000,3,5.9,2,1,576,120,
Moonee Valley,17 Ascot St,3032,10/1/2024,705000,2,5.9,1,3,252,108,
Moonee Valley,73 Kent St,3032,11/1/2024,760000,2,5.9,1,1,124,77,
Moonee Valley,1 East St,3032,10/1/2024,1000000,3,5.9,2,2,200,144,2003
Moonee Valley,1 Bloomfield Rd,3032,,1305000,3,5.9,1,1,278,166,
Moonee Valley,10 Ayr St,3032,10/1/2024,965000,3,5.9,1,0,216,,
Moonee Valley,58 Bloomfield Rd,3032,11/1/2024,1215000,3,5.9,1,1,452,175,1960
Moonee Valley,1/91 Epsom Rd,3032,11/1/2024,545000,2,5.9,1,2,194,71,
Moonee Valley,5 Doncaster St,3032,10/1/2024,1705000,4,5.9,2,4,598,273,2012
Boroondara,61 Dent St,3147,10/1/2024,2650000,4,11,3,2,753,399,2015
Boroondara,69 Albion Rd,3147,10/1/2024,1670000,3,11,2,2,599,220,
Boroondara,3/39 Solway St,3147,,2050000,3,11,3,4,310,315,2014
Boroondara,3 Dunlop St,3147,12/1/2024,,3,11,2,2,731,149,
Boroondara,16a Nicholas St,3147,11/1/2024,1100000,3,11,3,2,276,178,2004
Boroondara,5 Nicholas St,3147,10/1/2024,1337000,3,11,1,2,583,112,1950
Boroondara,115 Ashburn Gr,3147,10/1/2024,2950000,8,11,7,4,1472,618,2009
Boroondara,1/1 Nairn St,3147,10/1/2024,1518000,3,11,2,2,516,145,
Boroondara,9 Gona Ct,3147,10/1/2024,1710000,3,11,1,2,806,101,1950
Boroondara,45 Yuile St,3147,11/1/2024,1655000,3,11,1,3,780,152,
Boroondara,47 Yuile St,3147,,1550000,4,11,2,2,780,180,
Boroondara,6a Glen Rd,3147,11/1/2024,1662000,3,11,2,2,351,228,2006
Boroondara,18 Glen Rd,3147,10/1/2024,1665000,3,11,2,3,702,145,
Boroondara,29A Yuile St,3147,11/1/2024,3510000,5,11,5,2,755,444,2015
Boroondara,2/17 Ashburn Gr,3147,,,3,11,2,2,153,110,1990
Boroondara,15 Comas Gr,3147,10/1/2024,2752000,5,11,4,2,1075,390,2010
Boroondara,3 Mustang Ct,3147,,,3,11,2,2,710,139,
Boroondara,63 Dent St,3147,10/1/2024,1800000,4,11,2,4,749,206,1950
Boroondara,4 Vears Rd,3147,11/1/2024,1830000,3,11,2,3,724,168,
Boroondara,14 Lucerne St,3147,11/1/2024,1415000,3,11,1,1,605,111,1950
Boroondara,5 Pitt St,3147,12/1/2024,1440000,2,11,1,1,687,104,
Boroondara,1/65 Ashburn Gr,3147,10/1/2024,1250000,4,11,2,2,321,199,2007
Boroondara,48 Nicholas St,3147,11/1/2024,1600000,5,11,3,4,700,266,1950
Boroondara,5 Taylor St,3147,11/1/2024,1860000,4,11,2,3,696,274,2000
Boroondara,33 Highgate Gr,3147,11/1/2024,1790000,4,11,2,2,514,240,
Boroondara,9 Pitt St,3147,12/1/2024,1950000,4,11,2,2,844,278,
Boroondara,19 Poulter St,3147,11/1/2024,1650000,3,11,1,1,697,164,
Monash,1/53 Winbirra Pde,3147,12/1/2024,1200000,4,12.2,3,2,372,201,2016
Monash,18 Montrose St,3147,10/1/2024,1075000,2,12.2,1,2,695,114,1950
Monash,4 Scenic Dr,3147,10/1/2024,1500000,4,12.2,2,2,621,203,2000
Monash,1/7 Farmer St,3147,12/1/2024,,2,12.2,1,2,367,110,1970
Monash,1/136 High Street Rd,3147,12/1/2024,761000,3,12.2,2,4,400,94,1950
Monash,35 Douglas St,3147,12/1/2024,1365000,3,12.2,1,1,792,792,1950
Monash,95 Huntingdale Rd,3147,10/1/2024,1100000,4,12.2,2,2,803,152,1970
Monash,1/7 Murra Ct,3147,10/1/2024,690000,2,12.2,1,1,216,90,2003
Monash,58 Ashwood Dr,3147,11/1/2024,1631000,3,12.2,2,3,782,215,1950
Monash,3 Harold St,3147,11/1/2024,1500000,4,12.2,2,1,593,255,
Monash,16 Scenic Dr,3147,10/1/2024,1529500,5,12.2,3,2,585,317,2000
Monash,4/36 Queens Pde,3147,10/1/2024,,2,12.2,1,1,153,80,1970
Monash,17 Parkhill Dr,3147,11/1/2024,1240000,4,12.2,2,2,766,192,1950
Monash,2/6 Murra Ct,3147,11/1/2024,700000,2,12.2,1,2,192,88,2007
Monash,4 Teck St,3147,10/1/2024,1110000,2,12.2,1,1,586,86,1950
Monash,14 Ashwood Dr,3147,10/1/2024,1305000,3,12.2,1,1,760,120,1960
Monash,1/2 Condah Ct,3147,10/1/2024,,3,12.2,2,1,320,85,1958
Monash,1/16 Raymond St,3147,11/1/2024,900500,3,12.2,2,2,256,134,2012
Monash,4 Newbury Ct,3147,10/1/2024,1200000,3,12.2,2,2,839,198,1970
Monash,2/53 Salisbury Rd,3147,,830000,3,12.2,1,2,212,130,2012
Moonee Valley,8 Norma Ct,3034,11/1/2024,850000,3,10.5,1,1,593,118,1970
Moonee Valley,9 Rogerson St,3034,10/1/2024,750000,3,10.5,1,1,0,103,1980
Moonee Valley,157 Canning St,3034,12/1/2024,,3,10.5,3,1,557,181,2017
Moonee Valley,2 Arbor Tce,3034,11/1/2024,1155000,4,10.5,2,2,569,225,2008
Moonee Valley,68 Thompson St,3034,10/1/2024,680000,3,10.5,1,2,570,120,1970
Moonee Valley,97 Military Rd,3034,12/1/2024,627500,3,10.5,1,1,550,143,1970
Moonee Valley,3 Clive Ct,3034,12/1/2024,950000,4,10.5,3,3,761,281,1970
Moonee Valley,9 Willow Dr,3034,10/1/2024,,3,10.5,1,2,766,149,
Moonee Valley,8 Herbert St,3034,11/1/2024,705000,3,10.5,1,1,581,106,1960
Moonee Valley,2 Hillman Ct,3034,11/1/2024,1100000,4,10.5,3,2,873,395,1992
Moonee Valley,20 Westminster Dr,3034,10/1/2024,,3,10.5,1,1,586,118,1965
Moonee Valley,1/24 Bordeaux St,3034,12/1/2024,522500,2,10.5,1,1,220,101,1995
Moonee Valley,72 Military Rd,3034,12/1/2024,,4,10.5,2,2,554,140,1960
Moonee Valley,2 Drake Ct,3034,12/1/2024,875000,3,10.5,1,3,812,117,1960
Moonee Valley,109 North Rd,3034,12/1/2024,762000,4,10.5,2,2,589,150,1961
Moonee Valley,2/4 Carmyle Ct,3034,10/1/2024,411000,2,10.5,1,1,0,85,1995
Moonee Valley,10 Skewes St,3034,11/1/2024,,3,10.5,2,2,593,103,1970
Moonee Valley,43 Skewes St,3034,10/1/2024,634000,3,10.5,2,1,582,153,1950
Port Phillip,18 Linton St,3183,10/1/2024,1819000,4,6.6,2,1,244,180,
Port Phillip,7/72 Grosvenor St,3183,11/1/2024,410000,2,6.6,1,2,0,61,1965
Port Phillip,1/34 Gourlay St,3183,11/1/2024,1015000,2,6.6,1,2,114,120,2000
Port Phillip,4/9 Gourlay St,3183,,502500,2,6.6,1,1,0,65,1960
Port Phillip,1/22 Sycamore Gr,3183,11/1/2024,520000,2,6.6,1,0,0,58,1970
Port Phillip,6/23 Gourlay St,3183,,442000,2,6.6,1,1,0,61,1960
Port Phillip,6 Blenheim St,3183,11/1/2024,1193000,3,6.6,1,1,178,100,
Port Phillip,3/20 Orange Gr,3183,12/1/2024,,2,6.6,1,1,0,49,1960
Port Phillip,2/19 Camden St,3183,12/1/2024,474000,2,6.6,1,1,0,59,1970
Port Phillip,1/17 Albion St,3183,10/1/2024,981000,2,6.6,1,0,159,84,
Port Phillip,10 Grosvenor St,3183,,1690000,3,6.6,2,2,339,159,
Port Phillip,3/33 Gourlay St,3183,11/1/2024,540000,2,6.6,1,1,483,51,1970
Boroondara,166 Gordon St,3103,11/1/2024,2100000,2,9.7,1,1,659,123,
Boroondara,36 Narrak Rd,3103,12/1/2024,1800000,4,9.7,2,2,715,218,1985
Boroondara,2/16 Westminster St,3103,11/1/2024,1255000,2,9.7,1,1,208,129,2000
Boroondara,2/74 Balwyn Rd,3103,10/1/2024,1070000,3,9.7,2,2,206,112,1998
Boroondara,112 Belmore Rd,3103,10/1/2024,2570000,5,9.7,3,2,715,420,2009
Boroondara,27 Bevan St,3103,,2400000,4,9.7,2,2,744,226,1985
Boroondara,129 Gordon St,3103,11/1/2024,2200000,3,9.7,3,2,651,266,
Boroondara,4 Melba Ct,3103,10/1/2024,3250000,5,9.7,5,2,651,410,
Boroondara,5/14 Parring Rd,3103,11/1/2024,806000,2,9.7,1,1,122,97,1977
Boroondara,349 Union Rd,3103,10/1/2024,4000000,6,9.7,4,7,2051,449,
Boroondara,22 Yongala St,3103,12/1/2024,2250000,5,9.7,3,2,600,356,2006
Boroondara,40 Metung St,3103,12/1/2024,2800000,5,9.7,3,2,678,349,2001
